platform,comment_id,question_title,answer_summary,clean_text,business_mode,feedback_modes,comment_target,sentiment,confidence,quality_score,context_dependency_score,business_value_score,feedback_entropy_score,likes,high_value_reason,is_high_value_feedback,needs_llm_analysis,llm_priority_score,llm_route_reason,annotation_source,demo_case_id
zhihu,comment_0001,评论案例 001：剧情内容回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕剧情内容主题，对游戏本体表达了负向态度，整体信息密度为较高，已进入 LLM 候选池。,plot_discussion|product_experience,product_experience|monetization|competition|plot_discussion,game,negative,0.9,3,0,6,6,90,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较高，上下文依赖较低。,True,True,7,high_value_pre_llm|high_entropy|competition_mode,llm,comment_0001
zhihu,comment_0002,评论案例 002：商业化回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕商业化主题，对游戏本体表达了正向态度，整体信息密度为较高，已进入 LLM 候选池。,monetization|plot_discussion|product_experience,product_experience|brand_communication|competition|plot_discussion,game,positive,0.9,5,0,8,7,60,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值很高，上下文依赖较低。,True,True,7,high_value_pre_llm|high_entropy|competition_mode,llm,comment_0002
zhihu,comment_0003,评论案例 003：社区冲突回应,该评论样本在公开演示版中被整理为针对“社区群体”的回应，上下文依赖程度为中等。,该评论被改写为公开展示摘要：围绕社区冲突主题，对社区群体表达了正向态度，整体信息密度为较低，未进入 LLM 候选池。,community_conflict,community_conflict,community,positive,0.75,1,3,2,0,29,该评论主要作为社区群体相关的社区回应样本被保留，业务价值较低，上下文依赖中等。,False,False,3,,rule,comment_0003
zhihu,comment_0004,评论案例 004：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了正向态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,positive,0.75,1,0,1,1,25,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0004
zhihu,comment_0005,评论案例 005：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,1,0,0,1,12,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0005
zhihu,comment_0006,评论案例 006：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较高。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,0,5,0,0,9,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较高。,False,False,2,,rule,comment_0006
zhihu,comment_0007,评论案例 007：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,1,0,0,1,11,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0007
zhihu,comment_0008,评论案例 008：剧情内容回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕剧情内容主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,plot_discussion,plot_discussion,game,neutral,0.58,1,0,1,1,7,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0008
zhihu,comment_0009,评论案例 009：剧情内容回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为中等。,该评论被改写为公开展示摘要：围绕剧情内容主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,plot_discussion,plot_discussion,game,neutral,0.58,0,3,1,0,3,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖中等。,False,False,2,,rule,comment_0009
zhihu,comment_0010,评论案例 010：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,1,1,0,1,3,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0010
