platform,question_title,answer_summary,feedback_modes,business_mode,sentiment,quality_score,context_dependency_score,business_value_score,feedback_entropy_score,likes,high_value_reason,is_high_value_feedback_pre_llm,needs_llm_analysis,llm_priority_score,llm_route_reason,reaction_comment_count,supportive_ratio,opposing_ratio,controversy_score,sarcasm_ratio,high_value_comment_count,avg_comment_business_value_score,avg_comment_entropy_score,demo_case_id
zhihu,演示案例 001：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,positive,9,2,17,13.05,4971,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,170.0,12.35,4.71,6.47,2.94,36.0,1.02,1.64,content_0001
zhihu,演示案例 002：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为混合，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,mixed,9,2,17,13.05,1340,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,136.0,4.41,13.97,23.53,6.62,33.0,1.15,1.8,content_0002
zhihu,演示案例 003：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,positive,9,2,17,13.05,1083,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,85.0,22.35,3.53,17.65,1.18,35.0,1.47,2.25,content_0003
zhihu,演示案例 004：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,positive,8,1,17,12.6,327,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,21.0,0.0,4.76,4.76,4.76,2.0,0.19,1.24,content_0004
zhihu,演示案例 005：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,positive,8,2,17,12.6,275,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,32.0,28.12,6.25,9.38,0.0,9.0,1.25,1.69,content_0005
zhihu,演示案例 006：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为负向，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,negative,9,5,17,12.05,1496,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,15,actionable_feedback|long_comment|context_heavy|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,102.0,29.41,13.73,18.63,5.88,36.0,0.94,2.06,content_0006
zhihu,演示案例 007：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|brand_communication|competition|plot_discussion,product_experience|monetization|brand_communication|competition|plot_discussion,positive,9,2,16,13.05,2096,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,67.0,11.94,2.99,2.99,2.99,10.0,0.7,1.61,content_0007
zhihu,演示案例 008：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|brand_communication|competition|plot_discussion,product_experience|monetization|brand_communication|competition|plot_discussion,positive,9,2,16,13.05,2096,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,67.0,11.94,2.99,2.99,2.99,10.0,0.7,1.61,content_0008
zhihu,演示案例 009：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition,product_experience|monetization|brand_communication|community_conflict|competition,positive,9,2,16,13.05,573,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,51.0,23.53,9.8,23.53,66.67,16.0,0.8,1.31,content_0009
zhihu,演示案例 010：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,positive,9,2,15,13.05,372,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,29.0,20.69,3.45,20.69,13.79,9.0,1.0,2.03,content_0010
zhihu,演示案例 011：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为混合，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,mixed,8,2,15,10.8,744,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,37.0,18.92,2.7,5.41,0.0,6.0,0.54,1.35,content_0011
zhihu,演示案例 012：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为混合，信息密度处于很高水平。,product_experience|monetization|brand_communication|competition|plot_discussion,product_experience|monetization|brand_communication|competition|plot_discussion,mixed,9,0,14,13.05,686,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,25.0,4.0,4.0,4.0,0.0,3.0,0.8,1.16,content_0012
zhihu,演示案例 013：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,positive,9,1,14,13.05,70,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,6.0,33.33,0.0,0.0,0.0,0.0,0.5,1.0,content_0013
zhihu,演示案例 014：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,positive,9,2,13,13.05,5917,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,192.0,12.5,14.58,25.52,4.17,74.0,1.14,2.5,content_0014
