question_title,reaction_comment_count,supportive_ratio,opposing_ratio,controversy_score,sarcasm_ratio,high_value_comment_count,avg_comment_business_value_score,avg_comment_entropy_score
演示案例 001：产品体验主题,170.0,12.35,4.71,6.47,2.94,36.0,1.02,1.64
演示案例 002：产品体验主题,136.0,4.41,13.97,23.53,6.62,33.0,1.15,1.8
演示案例 003：产品体验主题,85.0,22.35,3.53,17.65,1.18,35.0,1.47,2.25
演示案例 004：产品体验主题,21.0,0.0,4.76,4.76,4.76,2.0,0.19,1.24
演示案例 005：产品体验主题,32.0,28.12,6.25,9.38,0.0,9.0,1.25,1.69
演示案例 006：产品体验主题,102.0,29.41,13.73,18.63,5.88,36.0,0.94,2.06
演示案例 007：产品体验主题,67.0,11.94,2.99,2.99,2.99,10.0,0.7,1.61
演示案例 008：产品体验主题,67.0,11.94,2.99,2.99,2.99,10.0,0.7,1.61
演示案例 009：产品体验主题,51.0,23.53,9.8,23.53,66.67,16.0,0.8,1.31
演示案例 010：产品体验主题,29.0,20.69,3.45,20.69,13.79,9.0,1.0,2.03
演示案例 011：产品体验主题,37.0,18.92,2.7,5.41,0.0,6.0,0.54,1.35
演示案例 012：产品体验主题,25.0,4.0,4.0,4.0,0.0,3.0,0.8,1.16
演示案例 013：产品体验主题,6.0,33.33,0.0,0.0,0.0,0.0,0.5,1.0
演示案例 014：产品体验主题,192.0,12.5,14.58,25.52,4.17,74.0,1.14,2.5
演示案例 015：产品体验主题,152.0,7.24,13.82,17.11,0.66,77.0,2.16,2.49
演示案例 016：产品体验主题,9.0,0.0,11.11,11.11,0.0,3.0,2.0,1.78
演示案例 017：产品体验主题,191.0,10.99,23.04,31.94,6.81,58.0,0.9,1.92
演示案例 018：产品体验主题,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.5
演示案例 019：产品体验主题,7.0,0.0,28.57,42.86,0.0,2.0,1.57,1.57
演示案例 020：产品体验主题,51.0,0.0,1.96,1.96,0.0,8.0,1.16,1.27
演示案例 021：产品体验主题,38.0,15.79,10.53,26.32,5.26,13.0,1.42,2.39
演示案例 022：产品体验主题,54.0,3.7,1.85,1.85,0.0,11.0,0.94,1.59
演示案例 023：产品体验主题,7.0,0.0,0.0,14.29,0.0,1.0,0.29,1.14
演示案例 024：产品体验主题,2.0,0.0,50.0,50.0,100.0,2.0,2.0,3.0
演示案例 025：产品体验主题,67.0,4.48,2.99,2.99,0.0,11.0,0.88,1.58
演示案例 026：商业化主题,129.0,6.2,29.46,47.29,4.65,51.0,1.26,2.61
演示案例 027：产品体验主题,10.0,20.0,20.0,50.0,10.0,6.0,1.4,2.4
演示案例 028：产品体验主题,22.0,18.18,4.55,9.09,0.0,5.0,1.05,1.45
演示案例 029：产品体验主题,7.0,42.86,0.0,14.29,71.43,4.0,0.86,2.29
演示案例 030：产品体验主题,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
演示案例 031：产品体验主题,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
演示案例 032：产品体验主题,,,,,,,,
演示案例 033：产品体验主题,4.0,0.0,25.0,25.0,0.0,1.0,0.5,1.75
演示案例 034：产品体验主题,30.0,20.0,13.33,13.33,6.67,5.0,1.57,1.63
演示案例 035：商业化主题,185.0,10.27,12.97,16.76,4.32,36.0,0.95,1.71
演示案例 036：商业化主题,59.0,23.73,23.73,27.12,3.39,19.0,1.14,2.36
演示案例 037：产品体验主题,8.0,0.0,25.0,25.0,12.5,5.0,1.12,2.75
演示案例 038：产品体验主题,19.0,10.53,5.26,10.53,0.0,5.0,1.68,1.63
演示案例 039：产品体验主题,22.0,13.64,18.18,18.18,4.55,3.0,0.82,1.36
演示案例 040：产品体验主题,12.0,0.0,16.67,16.67,0.0,9.0,1.5,2.92
演示案例 041：产品体验主题,6.0,0.0,0.0,0.0,0.0,1.0,0.67,1.67
演示案例 042：商业化主题,39.0,7.69,10.26,10.26,0.0,3.0,0.33,1.23
演示案例 043：产品体验主题,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
演示案例 044：产品体验主题,,,,,,,,
演示案例 045：产品体验主题,18.0,11.11,5.56,5.56,5.56,4.0,1.22,1.61
演示案例 046：产品体验主题,6.0,0.0,16.67,33.33,0.0,1.0,1.0,1.83
演示案例 047：产品体验主题,151.0,3.31,13.91,13.91,1.32,12.0,0.46,1.3
演示案例 048：产品体验主题,6.0,33.33,16.67,16.67,0.0,2.0,0.83,2.33
演示案例 049：产品体验主题,27.0,0.0,3.7,3.7,0.0,5.0,0.41,1.26
演示案例 050：商业化主题,146.0,10.27,10.27,13.7,4.79,25.0,0.57,1.64
演示案例 051：商业化主题,24.0,4.17,12.5,16.67,0.0,5.0,1.25,2.21
演示案例 052：产品体验主题,10.0,0.0,0.0,20.0,40.0,3.0,0.6,1.8
演示案例 053：产品体验主题,12.0,8.33,0.0,8.33,8.33,4.0,0.33,1.33
演示案例 054：产品体验主题,4.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0
演示案例 055：商业化主题,3.0,33.33,0.0,0.0,0.0,0.0,0.0,1.0
演示案例 056：产品体验主题,11.0,9.09,9.09,9.09,0.0,2.0,1.0,1.36
演示案例 057：产品体验主题,22.0,18.18,0.0,0.0,0.0,1.0,0.64,1.09
演示案例 058：商业化主题,8.0,12.5,25.0,37.5,12.5,3.0,1.5,1.88
演示案例 059：产品体验主题,2.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5
演示案例 060：产品体验主题,11.0,18.18,18.18,27.27,9.09,2.0,0.82,2.36
演示案例 061：产品体验主题,56.0,16.07,7.14,14.29,0.0,8.0,0.62,1.38
演示案例 062：品牌传播主题,7.0,0.0,0.0,14.29,0.0,1.0,1.0,1.71
演示案例 063：产品体验主题,7.0,28.57,14.29,14.29,0.0,4.0,2.71,2.71
演示案例 064：产品体验主题,20.0,5.0,20.0,25.0,5.0,9.0,1.4,2.15
演示案例 065：竞品比较主题,16.0,6.25,12.5,12.5,6.25,2.0,0.31,0.94
演示案例 066：产品体验主题,132.0,6.06,5.3,6.06,0.0,28.0,0.96,1.72
演示案例 067：商业化主题,14.0,28.57,7.14,7.14,7.14,2.0,1.43,1.64
演示案例 068：品牌传播主题,8.0,12.5,12.5,12.5,25.0,1.0,0.75,1.12
演示案例 069：商业化主题,13.0,0.0,0.0,0.0,7.69,1.0,0.46,1.08
演示案例 070：产品体验主题,,,,,,,,
演示案例 071：产品体验主题,1.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0
演示案例 072：产品体验主题,13.0,23.08,30.77,46.15,53.85,4.0,0.23,0.92
演示案例 073：产品体验主题,7.0,42.86,0.0,0.0,0.0,0.0,0.86,1.43
演示案例 074：产品体验主题,10.0,0.0,10.0,10.0,0.0,6.0,2.3,2.5
演示案例 075：竞品比较主题,37.0,8.11,21.62,37.84,5.41,12.0,0.65,1.68
演示案例 076：竞品比较主题,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
演示案例 077：商业化主题,,,,,,,,
演示案例 078：产品体验主题,7.0,0.0,57.14,57.14,14.29,5.0,1.0,1.57
演示案例 079：产品体验主题,,,,,,,,
演示案例 080：产品体验主题,,,,,,,,
